"n"	"p_{exp}"	"p_{theor}"	
17	3e-05	2.05197e-05	
18	4e-05	4.55994e-05	
19	0.00012	9.59988e-05	
20	0.00021	0.000191998	
21	0.00044	-0.00439708	
22	0.00075	-0.597587	
23	0.0011	3.67791	
24	0.00167	-152.62	
25	0.00317	6799.63	
26	0.00472	-1.21903e+06	
27	0.0077	-1.39563e+07	
28	0.00996	-5.12932e+08	
29	0.01383	-1.73542e+10	
30	0.01846	-5.58842e+11	
31	0.02324	3.91903e+13	
32	0.02982	-1.29623e+15	
33	0.03577	9.21926e+16	
34	0.04231	2.54532e+18	
35	0.04856	7.83803e+19	
36	0.05432	2.22822e+21	
37	0.05782	7.31594e+23	
38	0.06295	6.70277e+24	
39	0.06265	5.57267e+26	
40	0.06351	-7.27376e+29	
41	0.06035	-7.09635e+29	
42	0.0593	1.09014e+31	
43	0.05386	-4.1582e+32	
44	0.04918	4.91699e+34	
45	0.04452	-5.97817e+35	
46	0.03781	1.82876e+38	
47	0.03211	-6.60149e+39	
48	0.02712	-5.75952e+40	
49	0.0218	1.53182e+42	
50	0.01833	-1.65273e+44	
51	0.01305	-1.32522e+47	
52	0.01061	-1.0194e+47	
53	0.00823	-6.53906e+48	
54	0.00621	-1.73911e+50	
55	0.00468	8.21677e+51	
56	0.00315	3.19297e+53	
57	0.00228	1.37778e+55	
58	0.00137	1.4095e+57	
59	0.00098	8.70759e+59	
60	0.00069	-6.47672e+59	
61	0.00048	7.29007e+61	
62	0.00025	1.18292e+63	
63	0.00019	2.27981e+65	
64	8e-05	-1.56737e+66	
65	7e-05	-6.26946e+67	
66	6e-05	inf	
67	5e-05	inf	
68	2e-05	inf	
69	1e-05	inf	
70	1e-05	inf	
